 9241                                                                                       27.94-55.80 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9242                                                                                       27.59-54.92 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9243                                                                                       27.25-54.04 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9244                                                                                       26.91-53.16 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9245                                                                                       26.57-52.28 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9246                                                                                       26.24-51.40 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9247                                                                                       27.79-51.16 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9248                                                                                       29.32-50.90 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9249                                                                                       30.84-50.62 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9250                                                                                       32.34-50.32 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9251                                                                                       33.82-50.00 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9252                                                                                       35.28-49.66 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9253                                                                                       36.71-49.30 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9254                                                                                       38.13-48.93 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9255                                                                                       39.53-48.54 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9256                                                                                       40.90-48.13 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9257                                                                                       42.25-47.70 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9258                                                                                       43.58-47.26 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9259                                                                                       44.89-46.81 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9260                                                                                       46.17-46.34 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9261                                                                                       47.43-45.86 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9262                                                                                       48.67-45.36 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9263                                                                                       49.29-45.11 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9264                                                                                       48.58-44.26 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9265                                                                                       47.89-43.40 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9266                                                                                       47.22-42.55 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9267                                                                                       46.56-41.69 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9268                                                                                       45.92-40.82 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9269                                                                                       45.29-39.96 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9270                                                                                       44.67-39.10 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9271                                                                                       44.07-38.23 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9272                                                                                       42.94-38.70 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9273                                                                                       41.80-39.16 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9274                                                                                       40.64-39.61 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9275                                                                                       39.47-40.05 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9276                                                                                       38.29-40.47 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9277                                                                                       37.09-40.88 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9278                                                                                       36.57-40.00 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9279                                                                                       36.06-39.12 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9280                                                                                       35.56-38.24 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9281                                                                                       35.07-37.35 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9282                                                                                       34.58-36.47 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9283                                                                                       34.10-35.58 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9284                                                                                       33.63-34.70 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9285                                                                                       33.16-33.81 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9286                                                                                       32.69-32.93 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9287                                                                                       32.23-32.04 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9288                                                                                       31.78-31.16 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9289                                                                                       31.33-30.28 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9290                                                                                       31.33-30.28 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9291                                                                                       32.38-29.87 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9292                                                                                       33.43-29.45 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9293                                                                                       34.47-29.03 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9294                                                                                       35.50-28.60 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9295                                                                                       36.52-28.16 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9296                                                                                       37.53-27.71 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9297                                                                                      171.80-38.04 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9298                                                                                      170.87-38.70 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9299                                                                                      169.91-39.35 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9300                                                                                      168.94-39.99 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9301                                                                                      167.95-40.62 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9302                                                                                      166.93-41.24 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9303                                                                                      165.89-41.85 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
